"","srid","is_geographic","has_flipped_axes","spheroid","prime_meridian","datum","projection","unit","axis_1_name","axis_1_orientation","axis_2_name","axis_2_orientation"
"1015",3040,0,1,"GRS 1980","Greenwich","European_Terrestrial_Reference_System_1989","Transverse_Mercator","metre","Northing","North","Easting","East"
"1016",3041,0,1,"GRS 1980","Greenwich","European_Terrestrial_Reference_System_1989","Transverse_Mercator","metre","Northing","North","Easting","East"
"1017",3042,0,1,"GRS 1980","Greenwich","European_Terrestrial_Reference_System_1989","Transverse_Mercator","metre","Northing","North","Easting","East"
"1018",3043,0,1,"GRS 1980","Greenwich","European_Terrestrial_Reference_System_1989","Transverse_Mercator","metre","Northing","North","Easting","East"
"1019",3044,0,1,"GRS 1980","Greenwich","European_Terrestrial_Reference_System_1989","Transverse_Mercator","metre","Northing","North","Easting","East"
"1020",3045,0,1,"GRS 1980","Greenwich","European_Terrestrial_Reference_System_1989","Transverse_Mercator","metre","Northing","North","Easting","East"
"1021",3046,0,1,"GRS 1980","Greenwich","European_Terrestrial_Reference_System_1989","Transverse_Mercator","metre","Northing","North","Easting","East"
"1022",3047,0,1,"GRS 1980","Greenwich","European_Terrestrial_Reference_System_1989","Transverse_Mercator","metre","Northing","North","Easting","East"
"1023",3048,0,1,"GRS 1980","Greenwich","European_Terrestrial_Reference_System_1989","Transverse_Mercator","metre","Northing","North","Easting","East"
"1024",3049,0,1,"GRS 1980","Greenwich","European_Terrestrial_Reference_System_1989","Transverse_Mercator","metre","Northing","North","Easting","East"
"1025",3050,0,1,"GRS 1980","Greenwich","European_Terrestrial_Reference_System_1989","Transverse_Mercator","metre","Northing","North","Easting","East"
"1026",3051,0,1,"GRS 1980","Greenwich","European_Terrestrial_Reference_System_1989","Transverse_Mercator","metre","Northing","North","Easting","East"
"1027",3054,0,0,"International 1924","Greenwich","Hjorsey_1955","Transverse_Mercator","metre","Easting","East","Northing","North"
"1028",3055,0,0,"International 1924","Greenwich","Hjorsey_1955","Transverse_Mercator","metre","Easting","East","Northing","North"
